partner_id,country_name,partner_country_status_code,country_type
06c41ef1-2f8f-4ae5-9203-91d96ea8b97f,Switzerland,1,domicile
d25181ee-e77a-498e-8e10-69d0e38ef45c,Switzerland,1,domicile
70e297f9-5729-4d72-b25e-d8e93b50e7d5,Switzerland,1,domicile
09bbbe2b-bfbc-4573-947a-f3f47814e19f,Switzerland,1,domicile
d640037a-0eac-4f31-be45-06c67452060f,Switzerland,1,domicile
50227ec6-df35-4c31-9cb7-a46a4bba6f52,Switzerland,1,domicile
94228541-a606-47ba-a865-816d71d16f39,Switzerland,1,domicile
4241bf49-1f9b-4484-a23b-a4d2a920f707,Switzerland,1,domicile
2b07c7fe-2cc7-4727-8dfd-c01ac85e7ff8,Switzerland,1,domicile
e7621040-b389-4b5a-aae4-b12ff39fb1d2,Switzerland,1,domicile
2579069b-9d2e-47c4-aa40-2a69cae8b166,Switzerland,1,domicile
82c49493-03ef-4291-b32f-d14b0bd31ce5,Switzerland,1,domicile
0dfb6c60-5406-4f70-890b-294db80cdcb2,Switzerland,1,domicile
826d755d-8d5d-4a39-a5b6-39f3ba8533e1,Switzerland,1,domicile
6f52d3c7-a798-4a13-b435-98ec196372a9,Switzerland,1,domicile
3bcd986f-b3cb-4b1a-b67e-f8dd497dee7f,Switzerland,1,domicile
de9055ad-4c7f-4bf6-9c2b-830e222aa9a9,Switzerland,1,domicile
d48b870e-7d61-41f3-8c7a-40608e0172a9,Switzerland,1,domicile
c8301c41-1163-47f1-aeb1-c3a66239a879,Switzerland,1,domicile
7fba444f-d722-493d-815c-69bd3dd56787,Switzerland,1,domicile
71880b6e-3019-4c3c-b752-f860218eced8,Switzerland,1,domicile
676632fc-dbf6-41c1-bcb2-47a1916c4b40,Switzerland,1,domicile
fd4ae663-cc89-46b8-bedb-da61544496d9,Switzerland,1,domicile
378238aa-db3f-47a2-a09e-9a09161e107e,Switzerland,1,domicile
1591ffeb-1286-46ea-990e-73340abddfb1,Switzerland,1,domicile
7f5429b1-c884-45a0-ac84-eec08f60efd6,Switzerland,1,domicile
072c2f0f-4ac8-4f84-b8b1-23e87f0548bd,Switzerland,1,domicile
9224a770-bdde-4abc-8f94-ef4b11380233,Panama,1,domicile
