partner_id,entity_type,entity_id,relationship_start_date,relationship_end_date,br_type_code,associated_partner_id,partner_class_code
06c41ef1-2f8f-4ae5-9203-91d96ea8b97f,BR,23cf52a5-631b-4476-8593-46b94f161a6f,2013-04-11,,VP,,
d25181ee-e77a-498e-8e10-69d0e38ef45c,BR,fd5863b4-fa6b-4b04-a4d8-19bb1fdc98b4,2015-12-10,,VP,,
70e297f9-5729-4d72-b25e-d8e93b50e7d5,BR,fbe6947a-a0ed-4e62-a722-544b447e0530,2019-10-09,,VP,,
09bbbe2b-bfbc-4573-947a-f3f47814e19f,BR,c057d22d-5ef0-4f08-9eba-e202a93c9935,2015-01-18,,VP,,
d640037a-0eac-4f31-be45-06c67452060f,BR,fb10b30b-e364-4592-84dd-75fd17a5c3d5,2019-12-31,,VP,,
50227ec6-df35-4c31-9cb7-a46a4bba6f52,BR,0858963d-9ee1-43bf-935a-d8bf719f6d37,2020-08-12,,VP,,
94228541-a606-47ba-a865-816d71d16f39,BR,a7d3231e-1dec-4406-a203-a459ece72b59,2017-06-11,,VP,,
4241bf49-1f9b-4484-a23b-a4d2a920f707,BR,0308e0c2-e705-41f0-bfbd-dc515418eec7,2010-02-18,,VP,,
2b07c7fe-2cc7-4727-8dfd-c01ac85e7ff8,BR,971ba6a1-6f9e-423f-8555-138a2e1c36a8,2010-06-30,,VP,,
e7621040-b389-4b5a-aae4-b12ff39fb1d2,BR,bf2efadb-82ac-43c2-9738-c61e2cf258e9,2013-11-18,,VP,,
2579069b-9d2e-47c4-aa40-2a69cae8b166,BR,aa09301a-2d7b-4890-a1a2-6ed2649140ca,2019-06-27,,VP,,
82c49493-03ef-4291-b32f-d14b0bd31ce5,BR,dbb0401f-8200-42c9-8a5d-45379938f61e,2019-05-13,,VP,,
0dfb6c60-5406-4f70-890b-294db80cdcb2,BR,a0f1373f-48f7-4bbb-8708-f41b3d02ae31,2011-06-14,,VP,,
826d755d-8d5d-4a39-a5b6-39f3ba8533e1,BR,6ab2b32f-1dd1-4be6-9397-93c1a54f7b2f,2022-10-24,,VP,,
6f52d3c7-a798-4a13-b435-98ec196372a9,BR,7085b7ba-0237-455d-a67c-7cd402a3a67c,2011-12-08,,VP,,
3bcd986f-b3cb-4b1a-b67e-f8dd497dee7f,BR,cf30600e-5240-48c8-9ea9-62a248330450,2018-10-23,,VP,,
de9055ad-4c7f-4bf6-9c2b-830e222aa9a9,BR,83c41f9c-e331-4ece-8ffa-0355c86f7815,2010-10-21,,VP,,
d48b870e-7d61-41f3-8c7a-40608e0172a9,BR,2bb80f9c-0f50-44d2-baaf-df038b00c40b,2014-04-11,,VP,,
c8301c41-1163-47f1-aeb1-c3a66239a879,BR,83d2c8a1-de1a-44c6-bf6c-40671890306b,2017-02-24,,VP,,
7fba444f-d722-493d-815c-69bd3dd56787,BR,bb5beae9-a1a5-442d-b61c-e5daf4757e61,2011-10-23,,VP,,
71880b6e-3019-4c3c-b752-f860218eced8,BR,720bc8c5-4a9c-481a-8f73-cd621e1856d1,2018-09-14,,VP,,
676632fc-dbf6-41c1-bcb2-47a1916c4b40,BR,93632e27-89fb-4234-b807-341a7c58c6dd,2019-04-13,,VP,,
fd4ae663-cc89-46b8-bedb-da61544496d9,BR,bd0f5308-b7da-4adf-98b1-97bfb02fe7d3,2015-10-08,,VP,,
378238aa-db3f-47a2-a09e-9a09161e107e,BR,a56143d7-a427-4053-9ff3-11d1b4cf721b,2018-05-22,,VP,,
1591ffeb-1286-46ea-990e-73340abddfb1,BR,a060626d-c5de-4a73-b3f6-1f56bb02be1e,2017-10-11,,VP,,
7f5429b1-c884-45a0-ac84-eec08f60efd6,BR,8b6f3b71-c7fe-4525-a29f-01e41a799a7c,2019-07-29,,VP,,
072c2f0f-4ac8-4f84-b8b1-23e87f0548bd,BR,29c8d516-5da9-4532-8cde-c756e282e49f,2017-01-22,,VP,,
9224a770-bdde-4abc-8f94-ef4b11380233,BR,0b321544-4485-4e9b-a842-da5833db6094,2015-08-14,,VP,,
