br_id,account_id,relationship_id,relationship_status_code
23cf52a5-631b-4476-8593-46b94f161a6f,6a38b4b3-5be3-480f-ab22-f92655cb3661,cda00a32-4097-42e3-85a6-fcc22e7c9b6f,1
03a6436e-afb4-4778-a2d3-da178ea9d172,0643d81e-a433-4916-afea-8c84f562e4c2,55b3fb31-d071-4751-8ad6-2fc1f5208bc1,1
fd5863b4-fa6b-4b04-a4d8-19bb1fdc98b4,f7ee7526-c301-476a-9d57-9ff8e7681405,bd8639fb-8d03-4930-86a2-4e27c4f97583,1
fbe6947a-a0ed-4e62-a722-544b447e0530,fd9cd181-ffdb-45c7-9db6-3373c0b92dce,22bfa343-5c46-42ff-a6d2-a26d514266f1,1
d664344f-6bc3-4aaa-95a5-1f972b1c8721,13f19bd0-725c-42c5-ad07-f1096aab7ba7,69c675cf-a4cb-4a49-b48b-379294d731b8,1
c057d22d-5ef0-4f08-9eba-e202a93c9935,36db70c8-6ed0-4a5b-ade8-984d97c883b8,77a021a2-51a1-45d9-ab63-541da0bc065c,1
fb10b30b-e364-4592-84dd-75fd17a5c3d5,8ff8d799-e4ee-4a4a-be82-8c179ea891da,0db68ae1-cc0a-4a16-98f9-b513ac1f23e6,1
0858963d-9ee1-43bf-935a-d8bf719f6d37,1d147acf-b54d-4ff5-a289-6cfb7f228f83,63196ff2-3d04-4a57-b605-9cf275e03648,1
a7d3231e-1dec-4406-a203-a459ece72b59,91b376e3-bcfd-4279-9d0e-9b1acab7fa10,81ee38f1-4a11-4ef9-badb-f29129acafd1,1
0308e0c2-e705-41f0-bfbd-dc515418eec7,05b17be7-c7f3-44e2-83aa-005647aba186,b1ee2621-e85c-4846-a4ea-5cedce3f8d60,1
971ba6a1-6f9e-423f-8555-138a2e1c36a8,10869e70-1ea2-4a1f-98f2-632e0f19e981,73704339-f4f2-44c7-9fd5-bb70e3564aaa,1
3f335cde-710e-49b5-be60-b8b8eaab210d,619f08b4-0742-4c98-9853-7ff80378a097,810d344e-4153-4e73-bf70-f19b7a3faf66,1
bf2efadb-82ac-43c2-9738-c61e2cf258e9,022a98b6-7a1d-4877-b786-1bd9152d698f,84e701ef-5037-415e-8228-e7cbb44890e2,1
aa09301a-2d7b-4890-a1a2-6ed2649140ca,29bf7896-b819-4c4d-8df3-cdd7c46bf563,9c9fb370-6519-4897-9695-00628b51d270,1
dbb0401f-8200-42c9-8a5d-45379938f61e,73c7330d-a3db-43e1-a54d-cef5a017e269,ba254e9a-abd7-4728-9843-dbea3c7caf70,1
a0f1373f-48f7-4bbb-8708-f41b3d02ae31,7abb52bd-5ca1-4b33-9458-dc1ba8afc706,aafb5962-a3ca-47fc-87dc-e6afc5c897bd,1
6ab2b32f-1dd1-4be6-9397-93c1a54f7b2f,4085c70e-7c4f-4b23-b903-4f9639be0fcc,f1f324fc-c5c5-4cea-b371-7ae225851a20,1
0557d6c1-8904-4c32-9d04-524e838abfd2,7f8ed4f3-a603-489f-a127-c435dbfd1580,b5ab97c9-482c-49d7-b1bb-3b8daff33bf6,1
edb1d60a-c4c4-4bc3-8fd9-7be895c0132a,c4d4c577-46d7-4e41-84ea-6178cd65a753,519ec2ec-415b-473a-840e-94c82e865e34,1
7085b7ba-0237-455d-a67c-7cd402a3a67c,e951098f-80d6-4652-9f22-41f99d6df336,68818f26-fb5e-4518-a4a8-75dd58539792,1
cf30600e-5240-48c8-9ea9-62a248330450,f416b667-38b4-4125-923f-6a8bd1d7bc44,1a12ed45-9e47-4524-99be-bef46104c360,1
83c41f9c-e331-4ece-8ffa-0355c86f7815,ec50575c-c1e2-40f1-8745-ddec55498e4d,febbcc65-5bd0-4f89-bdce-15247128dae0,1
2bb80f9c-0f50-44d2-baaf-df038b00c40b,e2904036-9cc0-4772-9b27-85d52f303b2b,c3b0bbed-2d8d-4caf-b299-9923ad9ff0e8,1
b81efb7a-e3f2-4d71-bb4f-6155ee2751e7,12d3130d-2cf1-409a-bffd-8c77baa7b122,1cfdc206-e762-4c4a-9994-9e630edaedfb,1
83d2c8a1-de1a-44c6-bf6c-40671890306b,24fe7f31-d78f-42dd-a570-d8c322cba2c8,3e8a4b8b-bb46-4ac7-8406-1b08f51d5315,1
bb5beae9-a1a5-442d-b61c-e5daf4757e61,963ad468-4467-42c7-9b19-6b91e81f732a,7f0ce22b-71c0-482e-9369-7ae8ad8ca005,1
720bc8c5-4a9c-481a-8f73-cd621e1856d1,d04983c5-8f1d-4713-b624-cf29675a0a5a,e657f83e-db72-4df6-a89d-efffa102eeae,1
93632e27-89fb-4234-b807-341a7c58c6dd,cf541360-b0e6-49b6-907a-a11c6d3c33af,8113bd6a-6db9-452b-bd00-02d4b11c5b92,1
bd0f5308-b7da-4adf-98b1-97bfb02fe7d3,7ac90b71-f21b-404f-b062-815927239855,92d8009a-ae4a-4556-bd7c-7d9a341d207b,1
a56143d7-a427-4053-9ff3-11d1b4cf721b,32c7dd3d-48f0-4afd-a9e8-f0ef36fb2486,d8200cd5-4286-424a-be74-33688af71063,1
a060626d-c5de-4a73-b3f6-1f56bb02be1e,c798cd76-a227-47ac-aec3-bc6d53dd333c,689dc566-efc3-47ec-9704-94d06d477c75,1
8b6f3b71-c7fe-4525-a29f-01e41a799a7c,8589e632-4f6a-4ed6-a056-cd3efbbc57aa,73a05b82-6813-4423-9135-f053406ed216,1
29c8d516-5da9-4532-8cde-c756e282e49f,e12be22c-3192-4133-9434-f2589928ef8a,cc8578e6-0839-43de-8ea1-aa5a58f8afbe,1
0b321544-4485-4e9b-a842-da5833db6094,ec93f0e7-9c68-4594-ab09-c4a8940ff4c4,1871eea7-c800-4932-ab87-bf6a030c019d,1
484af6c4-470a-491b-980c-a847e41f35a9,ba60b273-354e-454f-829d-70c1da0436aa,cbf88883-5dd2-48d4-a8c8-488586228136,1
e6c585f6-6705-4252-9ce0-0c6040798c18,b6e56398-3530-40c8-b6bf-b3cf92052e6a,97ea2a02-9594-4a17-aab1-7f45c509ab61,1
bd30743f-7a30-4157-b4da-142d203e82c5,353c7277-4f7a-40c4-87bd-480312159398,b85ceecb-e4f3-42b9-8d42-23698062d308,1
f5b990fc-88c5-4bd8-82de-0b96bccabe00,1d140395-b93c-4bc0-a87b-211d0730acf3,6bf34e82-e04e-4929-a0f8-4d85c899149a,1
457064a9-5ab1-464b-977b-3cf02c11ebae,23f05cea-86e0-4bb4-8f75-9baf2d4fafbc,d51378cc-6d6c-4aec-98de-a1afd952dc92,1
05d64ece-c103-4ec9-a4ea-ec58475fa46f,cb1e536f-5dbc-43c8-b6ce-b227e3b2166c,8bcbb6ee-5d59-4caf-9d18-43ac67810632,1
67d64b79-1910-48c4-958e-bd572ecf919f,5aef8dbd-f031-400d-b85e-ccb120400911,720b7867-08b5-4b1e-a9b7-87e7d40b8a1d,1
8c58bac5-a0ea-4fdd-8762-2bb809eb2ab4,357e518b-c02b-4b44-abd1-74deadfeb46a,3da3f6be-afad-4a11-98c8-4e033665fef3,1
