br_id,br_open_date,br_close_date
23cf52a5-631b-4476-8593-46b94f161a6f,2013-04-11,
fd5863b4-fa6b-4b04-a4d8-19bb1fdc98b4,2015-12-10,
fbe6947a-a0ed-4e62-a722-544b447e0530,2019-10-09,
c057d22d-5ef0-4f08-9eba-e202a93c9935,2015-01-18,
fb10b30b-e364-4592-84dd-75fd17a5c3d5,2019-12-31,
0858963d-9ee1-43bf-935a-d8bf719f6d37,2020-08-12,
a7d3231e-1dec-4406-a203-a459ece72b59,2017-06-11,
0308e0c2-e705-41f0-bfbd-dc515418eec7,2010-02-18,
971ba6a1-6f9e-423f-8555-138a2e1c36a8,2010-06-30,
bf2efadb-82ac-43c2-9738-c61e2cf258e9,2013-11-18,
aa09301a-2d7b-4890-a1a2-6ed2649140ca,2019-06-27,
dbb0401f-8200-42c9-8a5d-45379938f61e,2019-05-13,
a0f1373f-48f7-4bbb-8708-f41b3d02ae31,2011-06-14,
6ab2b32f-1dd1-4be6-9397-93c1a54f7b2f,2022-10-24,
7085b7ba-0237-455d-a67c-7cd402a3a67c,2011-12-08,
cf30600e-5240-48c8-9ea9-62a248330450,2018-10-23,
83c41f9c-e331-4ece-8ffa-0355c86f7815,2010-10-21,
2bb80f9c-0f50-44d2-baaf-df038b00c40b,2014-04-11,
83d2c8a1-de1a-44c6-bf6c-40671890306b,2017-02-24,
bb5beae9-a1a5-442d-b61c-e5daf4757e61,2011-10-23,
720bc8c5-4a9c-481a-8f73-cd621e1856d1,2018-09-14,
93632e27-89fb-4234-b807-341a7c58c6dd,2019-04-13,
bd0f5308-b7da-4adf-98b1-97bfb02fe7d3,2015-10-08,
a56143d7-a427-4053-9ff3-11d1b4cf721b,2018-05-22,
a060626d-c5de-4a73-b3f6-1f56bb02be1e,2017-10-11,
8b6f3b71-c7fe-4525-a29f-01e41a799a7c,2019-07-29,
29c8d516-5da9-4532-8cde-c756e282e49f,2017-01-22,
0b321544-4485-4e9b-a842-da5833db6094,2015-08-14,
484af6c4-470a-491b-980c-a847e41f35a9,2016-08-06,
e6c585f6-6705-4252-9ce0-0c6040798c18,2018-02-01,
bd30743f-7a30-4157-b4da-142d203e82c5,2011-01-04,
f5b990fc-88c5-4bd8-82de-0b96bccabe00,2011-06-23,
05d64ece-c103-4ec9-a4ea-ec58475fa46f,2016-07-21,
67d64b79-1910-48c4-958e-bd572ecf919f,2012-01-01,
8c58bac5-a0ea-4fdd-8762-2bb809eb2ab4,2012-06-15,
b5180309-f029-4cf2-b5ae-28ecc4caad73,2022-10-04,
0a492b9a-515c-4061-b45a-28005591cfc6,2016-07-08,
d3384c37-a6be-4c82-ba20-8ebe7f65b535,2010-01-15,
9c5ea279-6ca1-4010-bc7d-b98250328a20,2018-07-26,
00fa11dd-4396-4dc4-867e-aecf5b6ad443,2013-09-15,
19349bce-f381-4eb5-98bc-d94b19de9033,2018-08-02,
c6bf5943-d29d-4f7e-a0f7-3686e0ecd8c7,2014-07-15,
7a43f0d6-4971-4565-99ce-548cb170d02b,2013-06-01,
5fe46441-7879-4a06-a3ab-2afedf606402,2014-07-19,
e56a8d52-88f8-4928-aaab-9f479ff48385,2014-10-30,
776d54d7-6ca0-40f3-9778-bb4d22a166ce,2011-06-26,
1c6d197a-ea30-488d-a6d8-68690e7204d0,2013-03-26,
be6ea3ee-d617-4e4b-ae28-3ad94e21bbf0,2017-05-12,
6d866ab2-fa3f-43f7-a6ba-98a798d6839b,2017-03-02,
a1eabd26-2673-46ac-8dc0-47574bf623e7,2012-07-17,
ae03693c-f2eb-4ed8-bb9c-29df9615a5dc,2013-11-27,
427ad7c3-04af-40a1-bf37-6824f0c3b3f5,2016-02-12,
9624685e-b991-4f3c-a913-77cd65cbea10,2015-08-24,
e3629310-7a41-40c4-b5bc-9d7df6181277,2021-03-21,
2c1b316f-1d73-4d30-8a68-5eb5d151560b,2017-01-07,
ef607ed7-feb5-4e00-9544-72384f7ba3fc,2017-09-04,
5c13121c-1c34-42a9-b76d-8413729a84ef,2016-07-28,
918acde4-bbb2-495b-8cda-ef96e21bc305,2011-01-18,
fce0189d-d7e1-410d-bbec-0582b661cfe4,2012-12-19,
494d6873-a896-47b0-ba1a-075cd000cd6a,2015-05-04,
704c3a8a-ef21-43d3-9b05-a9607a9241d6,2016-11-22,
1f24a5fc-a747-400c-ae85-22d185782acc,2021-06-01,
fcaea397-c2f9-4822-b358-542e4f48e422,2019-07-30,
fce09b63-6114-477a-afce-955ae0f34fe8,2017-04-29,
eadafe0b-f51f-420c-b4cb-2ed84262d8e3,2019-04-18,
692c0024-b1c8-4096-a351-43086b37e6fc,2013-04-18,
737498fe-8dcb-4373-b30e-1fbde8aa3270,2012-02-13,
9bab0f07-3adc-4167-b9b9-f78afab5c9a5,2018-05-15,
7c2c4662-544a-436d-9bea-cf8f63016dbe,2016-05-02,
2c082ed5-e402-485d-8806-75ee809c59a3,2017-02-10,
74a9a5e7-726e-4663-a108-3933dd0643d0,2013-11-04,
80d984dd-1d75-41fe-89f7-94d55fc760e7,2021-06-04,
fc17740a-a826-46a1-9e2c-2cfe192288d2,2018-05-20,
d93a1493-e03f-448b-862b-aebddf28a801,2013-11-04,
01e301da-2bd4-42d8-b8c8-b03989d3aef8,2019-02-03,
9fd44d8e-6aaf-45ce-81eb-a40373c7592a,2012-12-19,
6cc28701-5797-4bfe-a1c6-ce11fcb58eb0,2012-08-31,
486a9ba8-79ab-4dbf-b6eb-9460d8781a23,2013-05-10,
e167ed9f-1b78-4991-90ac-58b67519a390,2018-02-12,
da5f76c3-fa28-4278-a3b7-99733da7bf50,2013-04-03,
45595ba6-25aa-43ba-8742-3fbbb8d98125,2019-06-06,
f111208b-fadd-4ed6-adbc-3b9543cc301e,2020-10-09,
21505225-763c-473d-9450-094c8e4f4362,2022-01-27,
8ac71163-311f-4a2f-b7d5-cd84c2edeaa5,2015-07-17,
56f203e2-fc52-4949-a215-edfb9dfbc1da,2022-05-10,
be7e5fa0-eff2-48df-9a26-19e6c6d414e0,2011-03-15,
0829d82d-3fb0-4e08-bc3a-e2a65477b5c2,2010-06-14,
5afe4de4-5267-4e3c-be76-bdba330a0712,2019-03-05,
dd8a702d-7040-4ec3-a9b5-29f3f6ff4f15,2016-12-04,
363fc0c3-6e25-43a1-8c56-f61241ff360a,2022-08-18,
f6d68d1b-cb16-4e46-a1b4-d63b4b41475a,2021-06-09,
6b06de49-43ee-4863-be35-2a8dcfb29e04,2021-07-16,
9e025199-86bd-45c5-b718-fec654f7f37e,2013-08-19,
d2762c33-5081-4770-90f8-9e4dce54f591,2018-12-31,
2e2cc1ee-2ba8-4aa2-83ec-d54bd98c9731,2010-01-28,
ead1c1a5-d2d7-4f59-a19f-42eb1efd727a,2015-07-18,
3a098980-0000-4c4d-8cf5-7d4cf3ad1f66,2022-07-30,
d677dff5-44bd-4b29-953f-74cb833db72d,2010-07-13,
662c37b8-da14-4093-9e0d-7711dc817616,2011-08-15,
f9806a86-1dbc-4f8f-82db-3b2182d9b5b8,2016-10-25,
141c346e-3376-4dd3-81ef-eb7b0ca59a60,2015-02-01,
39fd8998-1309-4e8b-864e-cd8a718a9a6c,2010-04-23,
a5fa1226-67ca-405d-9bf6-d22354cf9f83,2014-10-04,
de56f19b-afa1-438c-8a11-2fe8428ed5dd,2020-01-17,
35253333-beeb-4b2b-a491-d9a7f072b676,2013-10-26,
8423581f-95b9-4813-9ed2-64d6e5e51e2a,2019-09-30,
2b8ac24c-5315-46e5-bf37-faef9806e4db,2016-02-15,
b3327717-0e41-482d-bd0e-ec0b93cc7c21,2020-08-19,
20d75be7-afa7-4949-95fe-16d1efc173db,2018-11-26,
a7d4630b-919f-452e-abcd-81b8f9e53ffa,2020-10-07,
878f6971-d412-4f4d-b55d-769334fec090,2018-04-03,
ae01438a-ba93-4e09-ac99-6565bcaedf3a,2010-05-13,
2712c742-e2c4-46a5-98ff-b05fa35c1a05,2022-10-10,
7ac60762-a6ae-4d0d-b19e-0a38e1ef9033,2021-07-22,
6fae7ebd-433e-4c19-a8ba-b1cb99c62ed4,2019-09-10,
cdaef6d7-a1c3-48ba-b95f-1fcdf52b3ac3,2018-03-08,
e4d54817-1570-42a4-9387-eaf2235b265a,2019-01-07,
392e0bb6-59d3-400b-ad2d-887fbd2ec7ff,2010-11-08,
c8d8dffb-69b7-4374-8ddb-7f0d8672d053,2022-01-09,
c7906c1a-82fa-4ad0-9f6b-bcd7c5359af2,2011-02-06,
7a652a7c-4283-47cd-bb5c-109193534bae,2014-05-16,
061ffe85-23c8-43c9-b3bd-dc8de486cae1,2010-05-02,
6d70edee-a76f-4308-8ac2-8bee3f1be057,2012-01-21,
6e1e0713-888a-4e99-89bf-dad0b00f4277,2012-11-25,
0bf9b95f-583d-42fd-b39b-e1790cf190a9,2021-05-30,
fd48a4fc-0e38-4a4f-99a3-4c2d677a4306,2022-10-08,
783d79be-93f1-47ea-a18d-82cd858e86ba,2018-11-13,
91832bea-beea-4553-ada1-20fb182c8e04,2013-05-29,
4c1d7a28-5648-4b18-8055-22cb4866d126,2010-03-17,
bdeb8f7e-3619-463f-9148-e06b237b6078,2012-10-06,
444889bd-0165-42ca-912a-c8fc0c8335a4,2018-12-27,
cef27953-0ab3-4ae6-a88d-0f6457e8c995,2016-03-25,
d9afa4ac-10b4-4d68-9185-462134277b0a,2011-03-29,
efeacfaa-e422-4906-ad3f-a12da05389a9,2012-02-05,
15184507-1fad-44d9-b187-6571612ad26b,2022-07-19,
781e38ae-acab-4df8-9486-91d15044bf33,2014-02-06,
6fb4c6e8-b21c-4f8b-af2a-6057d8c38839,2020-10-21,
520f203b-3be4-4279-b09d-7dce8bcd0528,2020-03-21,
5c6d5465-2c29-4102-a5e7-c6f3e1e36ac2,2017-10-09,
116081eb-bc2c-46b9-8c87-da5a649b0c86,2011-05-05,
01ca1956-40bd-4d34-9781-83b8dbb9820b,2016-08-20,
696bfbb1-f599-4873-b2cc-e053bef5c05d,2015-04-20,
5ebec935-3d4d-497b-a214-7f15dee734eb,2017-07-12,
36b8ccfd-361e-426f-8db1-01deda8480ee,2020-02-09,
bea60d80-3d66-4af0-b4dc-1cb1b7102ad9,2013-01-08,
01a4b497-7870-4895-a46d-fb7ca60bf778,2014-05-19,
4b28460c-c7e2-49e8-aadd-48ad696fb39e,2018-08-27,
